Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Căn hộ chung cư · Vinhomes Times City	Min's Apartment	3 khách · 1 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	3	
Căn hộ Studio	401TM Rooftop Studio on top and flower garden	2 khách · 1 Phòng ngủ · 1 phòng tắm	690,000₫/đêm	Đống Đa, Hà Nội, Vietnam	10	
Nhà riêng	Phố cổ Hà Nội - đoàn từ 6 người - Homestay riêng tư, yên tĩnh và ấm cúng giữa lòng phố cổ	16 khách · 4 Phòng ngủ · 3 phòng tắm	2,200,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	2	
Nhà riêng	MICHI HOMESTAY 1	4 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Ba Đình, Hà Nội, Vietnam	4	
Căn hộ chung cư · Imperia Garden	Living&Feeling on the Top Floor/2BR APT-Lily Hometel - Imperia Garden	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm 1,250,000₫	Thanh Xuân, Hà Nội, Vietnam	5	
Căn hộ dịch vụ · Chung cư D2 Giảng Võ	No.905 GIA BAO HOMESTAY - D2 GIẢNG VÕ, BA ĐÌNH, HÀ NỘI	5 khách · 3 Phòng ngủ · 2 phòng tắm	1,040,000₫/đêm 1,300,000₫	Ba Đình, Hà Nội, Vietnam	1	
Căn hộ chung cư	Queen 2BR * Luxury apt at Vinhomes Green Bay *	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,398,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	1	
Căn hộ chung cư · Vinhomes Nguyễn Chí Thanh	SweetHost's Scandinavian Vinhomes NCT Apartment	7 khách · 3 Phòng ngủ · 2 phòng tắm	1,396,850₫/đêm 1,535,000₫	Đống Đa, Hà Nội, Vietnam	33	
Căn hộ chung cư	Căn hộ bên hồ Trúc Bạch	2 khách · 1 Phòng ngủ · 1 phòng tắm	524,313₫/đêm	Ba Đình, Hà Nội, Vietnam	3	
Căn hộ chung cư	Modernized 1BR With Balcony at Dolp	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,082,155₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	1	
Căn hộ chung cư · Hong Kong Tower	HKB12A02 · Amazing 2BR-Apt near Japanese & Russian Embassy	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,650,000₫/đêm	Cầu Giấy, Hà Nội, Vietnam	3	
Căn hộ chung cư · Vinhomes Metropolis	Vinhomes Metropolis Residental M1-19F	5 khách · 2 Phòng ngủ · 2 phòng tắm	2,500,000₫/đêm	Ba Đình, Hà Nội, Vietnam	3	
Nhà riêng	The Autumn- Căn hộ xinh xắn gần hồ Tây	2 khách · 1 Phòng ngủ · 1 phòng tắm	712,500₫/đêm 750,000₫	Ba Đình, Hà Nội, Vietnam	4	
Căn hộ chung cư	Hanoi ANCIENT Apt-CHARMING&COZY-3min to Sword Lake	4 khách · 1 Phòng ngủ · 1 phòng tắm	619,642₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	3	
Căn hộ Studio	Beautiful Camellia Studio at Ba Dinh	3 khách · 1 Phòng ngủ · 1 phòng tắm	714,972₫/đêm	Ba Đình, Hà Nội, Vietnam	2	
Nhà riêng	City Center & Good Security - King-size bed - Easternstay NO.501	2 khách · 1 Phòng ngủ · 1 phòng tắm	364,636₫/đêm 405,151₫	Ba Đình, Hà Nội, Vietnam	2	
Căn hộ chung cư · Imperia Garden	A peaceful&comfortable 2BR apartment with balcony-Imperia Garden	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm 1,250,000₫	Thanh Xuân, Hà Nội, Vietnam	12	
Căn hộ chung cư	Ngo Trang An Street/Apartment with airy balcony/ 5m to Old Quarter/ Near Vincom Ba Trieu	2 khách · 1 Phòng ngủ · 1 phòng tắm	571,978₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	8	
Nhà riêng	Little Prince Home - Tinh cầu B612 (Nhà của Hoàng tử bé 1)	2 khách · 1 Phòng ngủ · 1 phòng tắm	522,500₫/đêm 550,000₫	Tây Hồ, Hà Nội, Vietnam	13	
Nhà riêng	Homestay Phủ Doãn	3 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	3	
Căn hộ chung cư · Chung cư Mipec Riverside	MIPEC RIVERSIDE SUITE 3BR	9 khách · 3 Phòng ngủ · 2 phòng tắm	1,429,944₫/đêm	Long Biên, Hà Nội, Vietnam	5	
Biệt Thự	La Villa D' Angelina	35 khách · 4 Phòng ngủ · 4 phòng tắm	6,500,000₫/đêm	Sóc Sơn, Hà Nội, Vietnam	16	
Căn hộ chung cư	Conner Vintage Apartment Center Ha Noi	6 khách · 2 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ chung cư	Homestay Vinhomes Greenbay - Hà Nội - Yên Tĩnh - Bể Bơi - Gym	3 khách · 1 Phòng ngủ · 1 phòng tắm	619,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	1	
Căn hộ Studio	BHome Apartment 701	2 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Ba Đình, Hà Nội, Vietnam	16	
Căn hộ Studio	MUSE Home - The Boho Home's in the heart of Hanoi	5 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	4	
Nhà riêng	Alex's Cozy Vintage Old Quarter Home	4 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm 1,100,000₫	Hoàn Kiếm, Hà Nội, Vietnam	10	
Căn hộ Studio	MINIMALISM HOME – 8-BED STUDIO ROOM - EASTERNSTAY	8 khách · 1 Phòng ngủ · 1 phòng tắm	540,000₫/đêm 600,000₫	Tây Hồ, Hà Nội, Vietnam	2	
Căn hộ Studio	Anne's Apartment 3F - 1 min to Hoan Kiem lake	2 khách · 1 Phòng ngủ · 1 phòng tắm	577,500₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	11	
Căn hộ Studio	Dreamy Studio	2 khách · 1 Phòng ngủ · 1 phòng tắm	680,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	2	
Nhà riêng	Pham's House - Quán Thánh	10 khách · 5 Phòng ngủ · 4 phòng tắm	1,800,000₫/đêm	Ba Đình, Hà Nội, Vietnam	1	
Căn hộ chung cư	#Vinhomes Greenbay Luxury Apartment 2 Bedrooms 5*	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,549,106₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	1	
Căn hộ chung cư	Breakfast Included★3BR Apartment in Hanoi center	6 khách · 3 Phòng ngủ · 3 phòng tắm	2,679,500₫/đêm	Đống Đa, Hà Nội, Vietnam	10	
Căn hộ chung cư	Sophie Gardenia Bích Câu #Cozy 1 Deluxe Bedroom Apartment	2 khách · 1 Phòng ngủ · 1 phòng tắm	900,000₫/đêm	Đống Đa, Hà Nội, Vietnam	1	
Căn hộ chung cư · Vinhomes Times City	♥️[BAYHOMES] TIMES CITY LUX /HANOI CENTER/2 BR	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	1	
Căn hộ chung cư · Imperia Garden	VISTAY4#Căn hộ 2 phòng ngủ với thiết kế hiện đại, ấm cúng phù hợp với gia đình	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,420,000₫/đêm	Thanh Xuân, Hà Nội, Vietnam	10	
Căn hộ chung cư · Vinhomes Times City	♥️[BAYHOMES] TIMES CITY /COZY/3BR	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,850,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	1	
Căn hộ chung cư · Chung cư Lancaster Núi Trúc	Shendo apartment Lancaster, 20 Nui Truc, 2 bedroom	4 khách · 2 Phòng ngủ · 2 phòng tắm	2,000,000₫/đêm	Ba Đình, Hà Nội, Vietnam	1	
Nhà riêng	Êm Ấm homestay - Căn hộ 02 phòng ngủ tầng gác mái lãng mạn, View Thung Lũng Hoa	6 khách · 2 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	7	
Căn hộ chung cư	Beautiful 1BR Apartment with Lake view	3 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	1	
Nhà riêng	Homie Hàng Vải	8 khách · 3 Phòng ngủ · 4 phòng tắm	1,883,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	3	
Căn hộ dịch vụ	Modern Studio Tripple / Window	3 khách · 1 Phòng ngủ · 1 phòng tắm	730,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	1	
Căn hộ chung cư	Lagom	5 khách · 2 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	17	
Căn hộ Studio	Bawhome - Casa D' Arte	5 khách · 1 Phòng ngủ · 1 phòng tắm	1,150,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	18	
Căn hộ dịch vụ	SaziHome*Căn hộ 2 phòng ngủ phong cách Châu Âu - Nhà Hát Lớn	6 khách · 2 Phòng ngủ · 1 phòng tắm	990,000₫/đêm 1,100,000₫	Hoàn Kiếm, Hà Nội, Vietnam	3	
Nhà riêng	Hanoi Friendly House - Deluxe Room - Kingsize Bed.	2 khách · 1 Phòng ngủ · 1 phòng tắm	428,983₫/đêm	Tây Hồ, Hà Nội, Vietnam	4	
Căn hộ dịch vụ	PHÒNG 301 TOO-DA-LOO HOUSE CỬA SỔ PANORAMA VIEW VƯỜN CÂY TẠI HỒ TÂY	3 khách · 1 Phòng ngủ · 1 phòng tắm	440,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	4	
Khác	Ruahouse Hilltop – Nhà ba gian	2 khách · 1 Phòng ngủ · 2 phòng tắm	1,600,000₫/đêm	Chương Mỹ, Hà Nội, Vietnam	7	
Biệt Thự	Hoa Mai Viên Sóc Sơn Villa	60 khách · 4 Phòng ngủ · 4 phòng tắm	5,000,000₫/đêm	Sóc Sơn, Hà Nội, Vietnam	3	
Căn hộ Studio	201StudioTM@ Centre of Hanoi- Nearly Van Mieu	2 khách · 1 Phòng ngủ · 1 phòng tắm	690,000₫/đêm	Đống Đa, Hà Nội, Vietnam	10	
Căn hộ chung cư	Aloha Hanoi Homestay 12A	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,399,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	10	
Căn hộ chung cư	Pham Huy Thong Street/ Lovely Lake View Apt/ 5 min Lott Center/5m walk to Bao Son Hotel	4 khách · 2 Phòng ngủ · 1 phòng tắm	714,972₫/đêm	Ba Đình, Hà Nội, Vietnam	2	
Nhà riêng	HayNest Homestay	4 khách · 1 Phòng ngủ · 1 phòng tắm	808,500₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	10	
Căn hộ dịch vụ	Goldentrip Homestay II	6 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Biệt Thự	Yên Bài Garden	25 khách · 4 Phòng ngủ · 4 phòng tắm	8,236,000₫/đêm	Ba Vì, Hà Nội, Vietnam	4	
Nhà riêng	Msummer Homestay	6 khách · 2 Phòng ngủ · 1 phòng tắm	691,140₫/đêm	Ba Đình, Hà Nội, Vietnam	2	
